GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
21140,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",7863219,8457392,9298688,9823557,10490183,11128452,11200098,9696318,7311006,9070640,8971031,9218193,9573267,10168793,10329039,10767472,11979393,12038611
21300,"Elmira, NY (Metropolitan Statistical Area)",3004352,2998316,3038268,3127147,3222477,3317673,3372712,3501868,3479236,3616552,3672999,3669215,3707816,3734980,3672232,3598261,3573676,3625650
21340,"El Paso, TX (Metropolitan Statistical Area)",20096007,20709523,20714785,21243894,21976630,22789156,23603409,23431763,23850825,25549042,26876847,27525750,27351400,27207329,27478590,27720882,28207727,29123868
21420,"Enid, OK (Metropolitan Statistical Area)",1987446,2031486,2139026,2187365,2292237,2405799,2557581,2783093,2855592,2968388,3024531,3468114,3721758,4302166,4329007,4591465,3345503,3391713
21500,"Erie, PA (Metropolitan Statistical Area)",10188968,10107670,10107481,10440489,10579351,10797167,11087877,11291986,10733337,10940781,11375636,11231179,11226645,11270975,11262083,11026281,10860163,11200594
21660,"Eugene-Springfield, OR (Metropolitan Statistical Area)",11093603,11361070,11582574,12048625,12560517,13352168,13533811,13409471,12570205,12636699,12755893,12776626,12780948,12990137,13807680,14146848,14683029,15067333
21780,"Evansville, IN-KY (Metropolitan Statistical Area)",14549707,15400140,15847856,16424982,15958905,15573942,15487765,15999873,15386870,15914640,16450872,16350098,16124532,15805121,15664137,15614015,15856790,15955374
21820,"Fairbanks, AK (Metropolitan Statistical Area) *",5882757,5077583,5149799,5252193,5486300,5740709,5886569,6272390,6192418,6172331,5824354,5562537,5511508,5596635,5599363,5572193,5582087,5654089
22020,"Fargo, ND-MN (Metropolitan Statistical Area)",7810580,8313433,8732610,9051027,9330347,9639428,9963769,10248748,10012416,10415805,10974092,11902375,12100336,12631802,12735939,12667457,12667707,13036357
22140,"Farmington, NM (Metropolitan Statistical Area)",6569226,6581279,6417757,6572452,6631245,6881515,7055343,6903762,6984691,6542934,6495936,6398675,6283413,6486513,6655678,6228398,6189598,5812050
22180,"Fayetteville, NC (Metropolitan Statistical Area)",14517668,15043963,15542066,16235800,17276836,17854191,17885749,18490913,19115311,19590709,19792690,19201985,18904082,18643444,18778572,18735368,19004060,19302507
22220,"Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",13318051,14344930,15294063,16826921,17954527,18039115,17443958,17181088,16404781,17364563,17732861,18363117,19616259,20559238,21319378,21877549,22927117,23481798
22380,"Flagstaff, AZ (Metropolitan Statistical Area)",4900475,4987211,5091959,5290301,5570893,5904109,6298236,6145698,5861421,6109513,6492493,6155174,6298365,6202742,6251840,6396139,6753461,6770442
22420,"Flint, MI (Metropolitan Statistical Area)",13927608,14660373,15176084,15170838,15399716,15336283,15174470,13412454,12169356,12549079,12608343,12379126,12577166,12754993,13194798,13122491,13162959,13455676
22500,"Florence, SC (Metropolitan Statistical Area)",7242149,7341127,7659897,7699247,7874052,8082162,8167164,7955359,7672369,7514055,7791527,7764723,8004042,8200006,8529348,8658177,8824777,9019299
